Deal,Image,Name,Price
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/5981361/1.jpg?4428,Skmei 1389 Quartz Man Watch Fashion Watch Luminous Multi-functional Three Time,"₦14,590"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/7435731/1.jpg?3461,Large Dial Sports Watch Silicone Strap Quartz Watch - Black,"₦2,690"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/7057341/1.jpg?1342,Crystal Alloy Quartz Watch Ladies Bracelace Watches -Gold,"₦3,490"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/787018/1.jpg?9676,Fngeen Calendar Sporty Waterproof Quartz Men's Watch,"₦5,200"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/145519/1.jpg?1275,Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦9,910"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/7672121/1.jpg?3792,BUSINESS MENS WRISTWATCH WATERPROOF WITH LEATHER BRACELETS,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/9251302/1.jpg?8561,Waterproof Smart Wrist Watch Pro For Apple IPhone And Android Phone,"₦17,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/4723532/1.jpg?0736,Luxury Women Classic Quartz Watch Elegant Ladies Wrist Watches,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/9396531/1.jpg?7867,Elegant Fashion Women Leather Rhinestone Wrist Watch-Gold,"₦3,190"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/276218/1.jpg?4740,Fngeen 02 Calendar Business Waterproof Quartz Watch/Blue,"₦4,980"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/7924631/1.jpg?1013,Women Watch Leather Band Ladies Quartz Wrist Watch,"₦2,390"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/344867/1.jpg?0925,BUSINESS MENS WRISTWATCH  WITH LEATHER WALLET,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/0680122/1.jpg?4032,Strap Band For Oraimo SmartWatch,"₦4,650"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6691052/1.jpg?4794,Led Creative Dial Rainbow Pattern Watches - White,"₦1,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6792202/1.jpg?7404,Quartz Watch Steel Band Casual Calendar Men's Watch Fashion Watch Silver,"₦3,799"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/344867/1.jpg?2715,Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦3,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3326811/1.jpg?2488,Ladies Wrist Watch Bracelet Set For Women,"₦2,980"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/614134/1.jpg?6253,Xinew Luminous Chronograph Digital-Analogue (Water Resistant),"₦9,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/4978341/1.jpg?7599,Three Eye Rome Quartz Women Watch,"₦2,201"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/590877/1.jpg?4921,2023 BUSINESS CLASSIC MENS WRISTWATCH + CAP + WALLET GIFT SET,"₦5,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/800934/1.jpg?6552,Curren 8329 Quartz Watch Business Men Sport Waterproof Wristwatch,"₦17,360"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/8949912/1.jpg?3793,SILICONE LED DIGITAL SPORTS ELECTRONICS WRISTWATCH - UNISEX,₦995
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/2873221/1.jpg?9887,2 Pieces Of Couple Luminous Led Wrist Watch,"₦3,690"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/3699112/1.jpg?5095,Men Watch Business Quartz Men Waterproof Fashion Wristwatch,"₦6,300"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/643519/1.jpg?8416,Men Non-Tarnish Gold Wristwatch + Steel Necklace,"₦7,400"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/7435731/1.jpg?0765,V8 Wrist Watches Men's Sport Waterproof Quartz Watch- Black,"₦2,900"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/228066/1.jpg?8466,Wlisth Men's Watches Fashion Casual Business Quartz Watch,"₦4,327"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/0513031/1.jpg?8272,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦6,340"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/643519/1.jpg?8416,Men Non-Tarnish Gold Wristwatch + Steel Necklace,"₦7,400"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/3881052/1.jpg?9715,Men's Hollow Leather Belt Business Watch - Gold/Brown,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/723668/1.jpg?1597,V8 Smart Mobile Sport Watch With SIM And Memory Card Slot,"₦10,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/4274352/1.jpg?4993,"Keep Moving DS Stone Iced Men""s Wristwatch Hand Chain","₦8,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/8490822/1.jpg?9562,2023 Stainless Steel Smart Watch Ultra Bluetooth Call NFC Wireless Charging GPS Waterproof Business Men Smartwatch For Apple IOS,"₦18,824"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/6875752/1.jpg?8360,T55 PRO MAX SMART WRISTWATCH FOR IPHONES AND ANDROIDS,"₦9,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/5981361/1.jpg?4428,Skmei 1389 Quartz Man Watch Fashion Watch Luminous Multi-functional Three Time,"₦14,590"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/787018/1.jpg?9676,Fngeen Calendar Sporty Waterproof Quartz Men's Watch,"₦5,200"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/90/145519/1.jpg?1275,Nepic Modern Luxury Black Leather Wrist Watch For Men By NelPicter,"₦9,910"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/7435731/1.jpg?0355,Unisex Luminous LED Electronic Wrist Watch-Black,"₦2,490"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/7672121/1.jpg?3792,BUSINESS MENS WRISTWATCH WATERPROOF WITH LEATHER BRACELETS,"₦4,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/276218/1.jpg?4740,Fngeen 02 Calendar Business Waterproof Quartz Watch/Blue,"₦4,980"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/6792202/1.jpg?7404,Quartz Watch Steel Band Casual Calendar Men's Watch Fashion Watch Silver,"₦3,799"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/0409641/1.jpg?1634,T55 SMART WATCH T55 Series 6 Smartwatch Bluetooth & Phone Call - 2 Straps,"₦8,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/126387/1.jpg?6207,"Superior Quality & Non Fading Classy ""Black Is Beautiful"" Wristwatch For The Lovers Of Black","₦7,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/9691052/1.jpg?5468,Led Creative Dial Rainbow Pattern Watches - Black,"₦1,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9773221/1.jpg?0302,LED Luminous WristWatch - Black,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/8898991/1.jpg?5586,Modern Luxury Black Leather Wrist Watch For Men By Nel Picter,"₦6,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/344867/1.jpg?2715,Classic  FASHION  DIGITAL MENS WRISTWATCH WATERPROOF SPORT WATCH,"₦3,500"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/614134/1.jpg?6253,Xinew Luminous Chronograph Digital-Analogue (Water Resistant),"₦9,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/7097352/1.jpg?5335,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦5,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/7435731/1.jpg?3461,Large Dial Sports Watch Silicone Strap Quartz Watch - Black,"₦2,690"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/4274352/1.jpg?4993,"Keep Moving DS Stone Iced Men""s Wristwatch Hand Chain","₦8,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/9773221/1.jpg?0302,LED Luminous WristWatch - Black,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/2941132/1.jpg?0198,Men's Wrist Watch Luminous Calendar Steel Band Quartz Wrist Watch,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/6027612/1.jpg?9732,Soki Casual Men's Sport Quartz Leather Strap Watch-Black,"₦2,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/1847911/1.jpg?2136,Business Classic Luxury Quartz Men’s Wristwatch + Wallet,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/8949912/1.jpg?9983,2x Luxury Unisex Led Light Wristwatch,"₦1,950"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/8700242/1.jpg?3542,Casio Amazing Men's G-shock Hybrid Chronograph Watch,"₦14,100"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/6691052/1.jpg?4794,Led Creative Dial Rainbow Pattern Watches - White,"₦1,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/6927401/1.jpg?1269,BUSINESS MENS WRISTWATCH WATERPROOF+ WALLET,"₦5,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/41/495738/1.jpg?3410,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦5,666"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/3881052/1.jpg?9715,Men's Hollow Leather Belt Business Watch - Gold/Brown,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/317768/1.jpg?5049,Lookworld Digital Jagged Exclusive Solid Black Men Wrist Watch + Classy Cross Necklace/Bracelet,"₦25,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/126387/1.jpg?6207,"Superior Quality & Non Fading Classy ""Black Is Beautiful"" Wristwatch For The Lovers Of Black","₦7,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/6097352/1.jpg?2432,Full Touch Screen Smart Watch - For Android & IOS,"₦8,800"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/7451491/1.jpg?5982,CASUAL QUARTZ FASHION WRISTWATCH WATERPROOF,"₦2,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/828317/1.jpg?6745,Men Fashion Wristwatch - Gold,"₦7,300"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/910501/1.jpg?8705,Skmei Digital Multi-Color LED Silicone Strap Sport Watch - Black,"₦8,200"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/9385032/1.jpg?6760,FD68 Smart Watch IP67 Waterproof Health Monitor 1.44-Black,"₦4,700"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/575387/1.jpg?8264,Superior Quality & Super Rugged Non Fading Gold Timepiece/Wristwatch For Men,"₦7,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/0831132/1.jpg?0222,Stainless Steel Strap Band For Oraimo Smart Watch,"₦4,950"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/3154342/1.jpg?8183,Magnetic Stainless Steel Strap Band For Oraimo Smartwatch,"₦4,950"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/623668/1.jpg?1471,V8 Smart Mobile Sport Watch+SIM & Card Slot,"₦10,899"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/2941132/1.jpg?0198,Men's Wrist Watch Luminous Calendar Steel Band Quartz Wrist Watch,"₦2,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/3326811/1.jpg?2488,Ladies Wrist Watch Bracelet Set For Women,"₦2,980"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/4810152/1.jpg?5069,5pcs Set  Women Magnetic Starry Sky Quartz Wristwatch,"₦4,830"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/6162132/1.jpg?8299,2 In 1 Women Watch Fashion Leather Wrist Watch Bracelet Set,"₦3,990"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/6027612/1.jpg?9732,Soki Casual Men's Sport Quartz Leather Strap Watch-Black,"₦2,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/0513031/1.jpg?8238,Smart Watch Full Touch Screen Watch - For Android & IOS,"₦5,920"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/1083332/1.jpg?7846,Lastest Bumper Protective Case For Apple Watch Series 8 Ultra 49 MM,"₦2,950"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/0017741/1.jpg?6928,5PCS Watch Set Women Quartz Wristwatch Leather Ladies Bracelet Watch,"₦3,550"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/807198/1.jpg?3928,Women Watch Leather Band Ladies Quartz Wrist Watch - Black,"₦2,150"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/7451491/1.jpg?5982,CASUAL QUARTZ FASHION WRISTWATCH WATERPROOF,"₦2,999"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/144859/1.jpg?0953,Dubai Quality & Rugged Super Sparkling Silver Wristwatch + 2 Bracelets,"₦25,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/5063532/1.jpg?4350,Luxury Female Leather Bracelet Watch Quartz Wristwatches For Women,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/1847911/1.jpg?2136,Business Classic Luxury Quartz Men’s Wristwatch + Wallet,"₦4,999"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/2462132/1.jpg?4307,Unique Design Women Watch Luxury Quartz Wrist Watch,"₦2,650"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/186798/1.jpg?0240,Wrist Watches Ladies Luxury Bracelet Watch -Black,"₦2,990"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/359028/1.jpg?9306,Keep Moving First Class & Elegant Non Fading Ladies Gold Wristwatch Set For Boss Chic,"₦29,500"
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/8949912/1.jpg?9983,2x Luxury Unisex Led Light Wristwatch,"₦1,950"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/5386411/1.jpg?9975,3Pcs/Set High Clarity Clear LCD Screen Protector Films For-,₦273
No deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/8700242/1.jpg?3542,Casio Amazing Men's G-shock Hybrid Chronograph Watch,"₦14,100"
Brand Festival Deal,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/5305912/1.jpg?9164,Smart Watch Can Install SIM Card-call Watch.,"₦8,900"
